PatchIdx,OA
1,0.960814
2,0.9725
3,0.972684
4,0.964263
5,0.961593
6,0.97594
7,0.976103
8,0.976394
9,0.968749
10,0.959826
11,0.951192
12,0.946058
13,0.925769
14,0.943524
15,0.869543
16,0.849465
17,0.868348
18,0.839887
19,0.8475
20,0.844635
21,0.839295
22,0.779434
23,0.733259
24,0.72968
25,0.735238
26,0.775453
27,0.797968
28,0.82157
29,0.896087
30,0.923553
31,0.917801
32,0.886448
33,0.916345
34,0.894538
35,0.896365
36,0.895679
37,0.848365
38,0.834388
39,0.818151
40,0.823761
41,0.802572
42,0.835683
43,0.873851
44,0.896784
45,0.811938
46,0.795903
47,0.75748
48,0.763887
49,0.779942
50,0.787171
51,0.791849
52,0.791554
53,0.776835
54,0.80575
55,0.841484
56,0.8433
57,0.851018
58,0.820694
59,0.810176
60,0.754314
61,0.711784
62,0.715459
63,0.762507
64,0.788155
65,0.80374
66,0.834799
67,0.814281
68,0.804455
69,0.781606
70,0.731715
71,0.713541
72,0.686998
73,0.692632
74,0.690395
75,0.64252
76,0.592813
77,0.574253
78,0.565006
79,0.566398
80,0.618138
81,0.592883
82,0.601966
83,0.582093
84,0.575818
85,0.591902
86,0.616519
87,0.627405
88,0.634812
89,0.658423
90,0.656432
91,0.663765
92,0.680192
93,0.650393
94,0.63827
95,0.625335
96,0.600054
97,0.633248
98,0.637209
99,0.693722
100,0.701669
101,0.738047
102,0.78259
103,0.835772
104,0.8364
105,0.8216
106,0.812939
107,0.799218
108,0.787669
109,0.781473
110,0.778176
111,0.776923
112,0.754023
113,0.719815
114,0.68332
115,0.667907
116,0.646102
117,0.639992
118,0.652535
119,0.690306
120,0.695973
121,0.679985
122,0.678584
123,0.687224
124,0.701137
125,0.717532
126,0.668291
127,0.650125
128,0.633763
129,0.642478
130,0.644869
131,0.648084
132,0.684624
133,0.711843
134,0.712758
135,0.705861
136,0.685996
137,0.703576
138,0.748632
139,0.79642
